              L,     Z,     P
655,906.042,-3.5144
656,906.007,-3.531
657,905.971,-3.5477
658,905.936,-3.5644
659,905.9,-3.581
660,905.864,-3.5977
661,905.828,-3.6144
662,905.792,-3.631
663,905.756,-3.6477
664,905.719,-3.6644
665,905.682,-3.681
666,905.645,-3.6977
667,905.608,-3.7144
668,905.571,-3.731
669,905.534,-3.7477
670,905.496,-3.7644
671,905.458,-3.781
672,905.421,-3.7977
673,905.382,-3.8144
674,905.344,-3.831
675,905.306,-3.8477
676,905.267,-3.8644
677,905.229,-3.881
678,905.19,-3.8977
679,905.151,-3.9144
680,905.111,-3.931
681,905.072,-3.9477
682,905.032,-3.9644
683,904.993,-3.981
684,904.953,-3.9977
685,904.913,-4.0144
686,904.873,-4.031
687,904.832,-4.0477
688,904.792,-4.0644
689,904.751,-4.081
690,904.71,-4.0977
691,904.669,-4.1144
692,904.628,-4.131
693,904.586,-4.1477
694,904.545,-4.1644
695,904.503,-4.181
696,904.461,-4.1977
697,904.419,-4.2144
698,904.377,-4.231
699,904.334,-4.2477
700,904.292,-4.2644
701,904.249,-4.281
702,904.206,-4.2977
703,904.163,-4.3144
704,904.12,-4.331
705,904.077,-4.3477
706,904.033,-4.3644
707,903.989,-4.381
708,903.945,-4.3977
709,903.901,-4.4144
710,903.857,-4.431
711,903.813,-4.4477
712,903.768,-4.4644
713,903.723,-4.481
714,903.679,-4.4977
715,903.633,-4.5144
716,903.588,-4.531
717,903.543,-4.5477
718,903.497,-4.5644
719,903.452,-4.581
720,903.406,-4.5977
721,903.36,-4.6144
722,903.313,-4.631
723,903.267,-4.6477
724,903.22,-4.6644
725,903.174,-4.681
726,903.127,-4.6977
727,903.08,-4.7144
728,903.033,-4.731
729,902.985,-4.7477
730,902.938,-4.7644
731,902.89,-4.781
732,902.842,-4.7977
733,902.794,-4.8144
734,902.746,-4.831
735,902.697,-4.8477
736,902.649,-4.8644
737,902.6,-4.881
738,902.551,-4.8977
739,902.502,-4.9144
740,902.453,-4.931
741,902.403,-4.9477
742,902.354,-4.9644
743,902.304,-4.981
744,902.254,-4.9977
745,902.204,-5.0144
746,902.154,-5.031
747,902.104,-5.0477
748,902.053,-5.0644
749,902.002,-5.081
750,901.951,-5.0977
751,901.9,-5.1144
752,901.849,-5.131
753,901.798,-5.1477
754,901.746,-5.1644
755,901.694,-5.181
756,901.642,-5.1977
757,901.59,-5.2144
758,901.538,-5.231
759,901.486,-5.2477
760,901.433,-5.2644
761,901.381,-5.281
762,901.328,-5.2977
763,901.275,-5.3144
764,901.221,-5.331
765,901.168,-5.3477
766,901.114,-5.3644
767,901.061,-5.381
768,901.007,-5.3977
769,900.953,-5.4144
770,900.898,-5.431
771,900.844,-5.4477
772,900.79,-5.4644
773,900.735,-5.481
774,900.68,-5.4977
775,900.625,-5.5144
776,900.57,-5.531
777,900.514,-5.5477
778,900.459,-5.5644
779,900.403,-5.581
780,900.347,-5.5977
781,900.291,-5.6144
781.862,900.243,-5.6287
782,900.235,-5.6287
783,900.178,-5.6287
784,900.122,-5.6287
785,900.066,-5.6287
786,900.01,-5.6287
787,899.953,-5.6287
788,899.897,-5.6287
789,899.841,-5.6287
